Task,T941
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.9,20.2
2,176.9,20.2
3,176.9,20.2
4,176.9,20.2
5,176.9,20.2
6,176.8,20.2
7,176.8,20.2
8,176.9,20.2
9,176.9,20.2
10,176.8,20.2
11,176.9,20.2
12,176.9,20.2
13,176.9,20.2
14,176.8,20.2
15,176.8,20.2
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.9,20.2
2,3.9,20.2
3,3.9,20.2
4,3.9,20.2
5,3.9,20.2
6,3.8,20.2
7,3.8,20.2
8,3.8,20.2
9,3.8,20.2
10,3.8,20.2
11,3.8,20.2
12,3.8,20.2
13,3.8,20.2
14,3.8,20.2
15,3.8,20.2
16,3.8,20.2
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.8,20.1
2,-170.9,20.1
3,-170.9,20.1
4,-170.9,20.1
5,-170.9,20.1
6,-170.9,20.1
7,-170.9,20.1
8,-170.9,20.1
9,-171.0,20.1
10,-171.0,20.1
11,-171.0,20.1
12,-171.0,20.1
13,-171.0,20.1
14,-171.0,20.1
15,-171.0,20.1
